Store Name,Primary Category Name,Secondary Category Name,Leaf Category Name,Product ID,Creation Date,Product Name,Product URL,SKU,Attribute Set,Visibility,Status(enable/disable)
bannerbuzz.co.uk,Banners,Vinyl Banners,Event Banners,"4,65,414",17-02-2019 08:31,Birthday Banners,https://www.bannerbuzz.co.uk/birthday-banners/p,BBRMBB01,Default,"Catalog, Search",Enable
bannerbuzz.ca,Banners,Vinyl Banners,Event Banners,"4,65,414",17-02-2019 08:31,Birthday Banners,https://www.bannerbuzz.ca/birthday-banners/p,BBRMBB01,Default,"Catalog, Search",Enable
bannerbuzz.nz,Banners,Vinyl Banners,Event Banners,"4,65,414",17-02-2019 08:31,Birthday Banners,https://www.bannerbuzz.co.nz/birthday-banners/p,BBRMBB01,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Event Banners,"4,65,414",17-02-2019 08:31,Personalized Birthday Banners,https://www.bestofsigns.com/birthday-banners.html,BBRMBB01,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Event Banners,"4,65,415",17-02-2019 08:31,Halloween Banners,https://www.bannerbuzz.com/halloween-banners/p,BBVBHB02,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Event Banners,"4,65,415",17-02-2019 08:31,Halloween Banners,https://www.bannerbuzz.com.au/halloween-banners/p,BBVBHB02,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Holiday Banners,"4,65,415",17-02-2019 08:31,Halloween Banners,https://www.bestofsigns.com/halloween-banners.html,BBVBHB02,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Event Banners,"4,65,416",17-02-2019 08:31,Thanksgiving Banners,https://www.bannerbuzz.com/thanksgiving-banners/p,BBVBHB03,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Event Banners,"4,65,416",17-02-2019 08:31,Thanksgiving Banners,https://www.bannerbuzz.com.au/thanksgiving-banners/p,BBVBHB03,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Holiday Banners,"4,65,416",17-02-2019 08:31,Thanksgiving Banners,https://www.bestofsigns.com/thanksgiving-banners.html,BBVBHB03,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Event Banners,"4,65,417",17-02-2019 08:31,4th of July Banners,https://www.bannerbuzz.com/4th-of-july-banners/p,BBVBHB04,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Event Banners,"4,65,417",17-02-2019 08:31,4th of July Banners,https://www.bannerbuzz.com.au/4th-of-july-banners/p,BBVBHB04,Default,[NULL],Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Event Banners,"4,65,417",17-02-2019 08:31,4th of July Banners,https://www.bestofsigns.com/4th-of-july-banners.html,BBVBHB04,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Event Banners,"4,65,418",17-02-2019 08:31,Christmas Banners,https://www.bannerbuzz.com/christmas-banners/p,BBVBHB01,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Event Banners,"4,65,418",17-02-2019 08:31,Christmas Banners,https://www.bannerbuzz.com.au/christmas-banners/p,BBVBHB01,Default,"Catalog, Search",Enable
bannerbuzz.co.uk,Banners,Vinyl Banners,Event Banners,"4,65,418",17-02-2019 08:31,Christmas Banners,https://www.bannerbuzz.co.uk/christmas-banners/p,BBVBHB01,Default,"Catalog, Search",Enable
bannerbuzz.ca,Banners,Vinyl Banners,Event Banners,"4,65,418",17-02-2019 08:31,Christmas Banners,https://www.bannerbuzz.ca/christmas-banners/p,BBVBHB01,Default,"Catalog, Search",Enable
bannerbuzz.nz,Banners,Vinyl Banners,Event Banners,"4,65,418",17-02-2019 08:31,Christmas Banners,https://www.bannerbuzz.co.nz/christmas-banners/p,BBVBHB01,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Holiday Banners,"4,65,418",17-02-2019 08:31,Christmas Banners,https://www.bestofsigns.com/christmas-banners.html,BBVBHB01,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Event Banners,"4,65,419",17-02-2019 08:31,New Year Banners,https://www.bannerbuzz.com/new-year-banners/p,BBVBHB05,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Event Banners,"4,65,419",17-02-2019 08:31,New Year Banners,https://www.bannerbuzz.com.au/new-year-banners/p,BBVBHB05,Default,"Catalog, Search",Enable
bannerbuzz.co.uk,Banners,Vinyl Banners,Event Banners,"4,65,419",17-02-2019 08:31,New Year Banners,https://www.bannerbuzz.co.uk/new-year-banners/p,BBVBHB05,Default,"Catalog, Search",Enable
bannerbuzz.ca,Banners,Vinyl Banners,Event Banners,"4,65,419",17-02-2019 08:31,New Year Banners,https://www.bannerbuzz.ca/new-year-banners/p,BBVBHB05,Default,"Catalog, Search",Enable
bannerbuzz.nz,Banners,Vinyl Banners,Event Banners,"4,65,419",17-02-2019 08:31,New Year Banners,https://www.bannerbuzz.co.nz/new-year-banners/p,BBVBHB05,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Holiday Banners,"4,65,419",17-02-2019 08:31,New Year Banners,https://www.bestofsigns.com/new-year-banners.html,BBVBHB05,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Event Banners,"4,65,420",17-02-2019 08:31,Baby Shower Banners,https://www.bannerbuzz.com/baby-shower-banners/p,BBVBEB02,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Event Banners,"4,65,420",17-02-2019 08:31,Baby Shower Banners,https://www.bannerbuzz.com.au/baby-shower-banners/p,BBVBEB02,Default,"Catalog, Search",Enable
bannerbuzz.co.uk,Banners,Vinyl Banners,Event Banners,"4,65,420",17-02-2019 08:31,Baby Shower Banners,https://www.bannerbuzz.co.uk/baby-shower-banners/p,BBVBEB02,Default,"Catalog, Search",Enable
bannerbuzz.ca,Banners,Vinyl Banners,Event Banners,"4,65,420",17-02-2019 08:31,Baby Shower Banners,https://www.bannerbuzz.ca/baby-shower-banners/p,BBVBEB02,Default,"Catalog, Search",Enable
bannerbuzz.nz,Banners,Vinyl Banners,Event Banners,"4,65,420",17-02-2019 08:31,Baby Shower Banners,https://www.bannerbuzz.co.nz/baby-shower-banners/p,BBVBEB02,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Business Banners,"4,65,420",17-02-2019 08:31,Baby Shower Banners,https://www.bestofsigns.com/baby-shower-banners.html,BBVBEB02,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Event Banners,"4,65,421",17-02-2019 08:31,Welcome Home Banners,https://www.bannerbuzz.com/welcome-home-banners/p,BBVBEB04,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Event Banners,"4,65,421",17-02-2019 08:31,Welcome Home Banners,https://www.bannerbuzz.com.au/welcome-home-banners/p,BBVBEB04,Default,"Catalog, Search",Enable
bannerbuzz.co.uk,Banners,Vinyl Banners,Event Banners,"4,65,421",17-02-2019 08:31,Welcome Home Banners,https://www.bannerbuzz.co.uk/welcome-home-banners/p,BBVBEB04,Default,"Catalog, Search",Enable
bannerbuzz.ca,Banners,Vinyl Banners,Event Banners,"4,65,421",17-02-2019 08:31,Welcome Home Banners,https://www.bannerbuzz.ca/welcome-home-banners/p,BBVBEB04,Default,"Catalog, Search",Enable
bannerbuzz.nz,Banners,Vinyl Banners,Event Banners,"4,65,421",17-02-2019 08:31,Welcome Home Banners,https://www.bannerbuzz.co.nz/welcome-home-banners/p,BBVBEB04,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Special Banners,"4,65,421",17-02-2019 08:31,Welcome Home Banners,https://www.bestofsigns.com/welcome-home-banners.html,BBVBEB04,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Event Banners,"4,65,422",17-02-2019 08:31,Wedding Anniversary Banners,https://www.bannerbuzz.com/wedding-anniversary-banners/p,BBVBEB03,Default,"Catalog, Search",Enable
